Date,City,Cause of Death
2009-08-20,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-08-16,"Kabul,Kabul, Aghanistan",Terrorist Action
2009-08-15,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-08-15,"Kabul City,Kabul, Aghanistan",Terrorist Action
2009-08-13,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-07-19,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-07-04,"Kabul,Kabul, Afghanistan",Vehicle Accident - Auto
2009-06-13,"Kabul, Kabul, Afghanistan",Drug-Related
2008-08-13,"Logar, Afghanistan",Terrorist Action
2005-06-25,"Bagram Air Base, Afghanistan",Suicide
2005-06-01,"Kandahar, Afghanistan",Terrorist Action
2005-04-23,"Ghazni, Afghanistan",Vehicle Accident - Auto
2005-04-06,"Ghazni, Afghanistan",Air Accident
2005-04-06,"Ghazni, Afghanistan",Air Accident
2005-04-06,"Ghazni, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2005-02-03,"Koh-e-chapari, Afghanistan",Air Accident
2004-11-27,"Baba Mountain, Bamian Province, Afghanistan",Air Accident
2004-11-27,"Baba Mountain, Bamian Province, Afghanistan",Air Accident
2004-11-27,"Baba Mountain, Bamian Province, Afghanistan",Air Accident
2004-11-27,"Baba Mountain, Bamian Province, Afghanistan",Air Accident
2004-10-23,"Kabul, Afghanistan",Terrorist Action
2004-08-29,"Kabul, Afghanistan",Terrorist Action
2004-08-29,"Kabul, Afghanistan",Terrorist Action
2004-08-29,"Kabul, Afghanistan",Terrorist Action
2003-10-25,"Shkin, Afghanistan",Terrorist Action
2003-10-25,"Shkin, Afghanistan",Terrorist Action
2011-12-17,"Tepelene, Albania",Vehicle Accident - Auto
2010-06-22,Albania,Vehicle Accident - Auto
2010-06-22,Albania,Vehicle Accident - Auto
2005-01-01,"Hassi Messaoud, Ouargla, Algeria",Suicide
2011-12-12,"Luanda, Angola",Drowning
2007-01-12,"Alvalade Clinic, Luanda, Luanda",Homicide
2005-12-20,"Cabinda, Angola",Suicide
2006-04-19,"Codrington, Barbuda",Other Accident
2012-08-18,"Rosario, Santa Fe, Argentina",Suicide
2012-02-18,"Salta, Argentina",Suicide
2011-03-21,"Puerto Iguazu, Misiones, Argentina",Drowning
2011-03-21,"Puerto Iguazu, Misiones, Argentina",Drowning
2010-12-27,"Buenos Aires, Argentina",Drowning
2010-07-09,"Cordoba, Argentina",Drowning
2010-02-09,"Tupungato,Mendoza, Argentina",Vehicle Accident - Auto
2010-01-31,"Buenos Aires, Argentina",Suicide
2009-10-16,"Buenos Aires, Argentina",Suicide
2009-04-13,"Cordoba, Argentina",Suicide
2009-03-08,"San Carlos De Bariloche, Rio Negro, Argentina",Other Accident
2009-03-08,"San Carlos De Bariloche, Rio Negro, Argentina",Other Accident
2009-01-25,"Rio Grande, Tierra Del Fuego, Argentina",Vehicle Accident - Auto
2009-01-25,"Rio Grande, Tierra Del Fuego, Argentina",Vehicle Accident - Auto
2009-01-02,"Buenos Aires, Argentina",Suicide
2008-07-16,"Rodriguez, Argentina",Drowning
2008-06-21,"Sanmartin And Catamarca, Salta, Argentina",Vehicle Accident - Auto
2007-12-03,"Buenos Aires, Argentina",Suicide
2007-10-12,"Buenos Aires, Argentina",Other Accident
2007-10-10,"Provincial Route 6, Hernando, Cordoba, Argentina",Vehicle Accident - Auto
2007-04-06,"Buenos Aires, Argentina",Other Accident
2007-01-09,"Route 7 Km 1101, Lujan De Cuyo,mendoza, Argentina",Drowning - River
2006-04-23,"San Luis, Argentina",Vehicle Accident - Auto
2006-03-06,"Tunuyan, Mendoza, Argentina",Vehicle Accident - Auto
2006-01-22,"At Sea, Near Ushuaia, Tierra Del Fuego, Argentina",Other Accident
2005-12-02,"Rosario, Santa Fe, Argentina",Train Accident
2005-10-17,"Cerro Mercedario, San Juan, Argentina",Other Accident
2005-07-23,"Ruta Prov. 16, Villa Tulumba, Cordoba, Argentina",Vehicle Accident - Auto
2004-09-14,"Valle De Las Lenas, Mendoza, Argentina",Other Accident
2004-02-04,"Km 577, La Cautiva, Rio 4, Prov. Cordoba, Argentina",Other Accident
2003-08-27,"Buenos Aires, Argentina",Vehicle Accident - Auto
2003-06-03,"Vicente Lopez, Buenos Aires, Argentina",Homicide
2003-03-09,"Gualeguaychu, Entre Rios, Argentina",Other Accident
2003-03-04,"Rio Chimehuin, Junin De Los Andes, Argentina",Drowning
2012-07-17,"Yerevan, Armenia",Other Accident
2011-08-03,"Yerevan, Armenia",Vehicle Accident - Pedestrian
2010-10-03,"Vayots Zvor Region, Armenia",Vehicle Accident - Auto
2009-04-25,"Yerevan, Armenia",Homicide
2004-05-17,"Yerevan, Armenia",Homicide
2012-08-06,"San Nicolas, Aruba",Drowning
2012-07-04,"Oranjestad, Aruba",Drowning
2006-10-04,"San Nicolas, Aruba",Drowning
2006-06-08,"Palm Beach, Aruba",Vehicle Accident - Auto
2005-03-12,Aruba,Drug-Related
2005-02-08,Aruba,Drowning
2005-01-26,"Oranjestad, Aruba",Other Accident
2004-07-12,Aruba,Drowning
2004-07-12,Aruba,Drowning
2003-07-06,"Seroe Colorado, Aruba",Other Accident
2012-12-08,"Margaret River, Western Australia, Australia",Drowning
2012-08-26,"Bonnie Doon, Victoria, Australia",Vehicle Accident - Auto
2012-08-22,"Jindalee, Queensland, Australia",Other Accident
2012-08-18,"Georges Hall, New South Wales, Australia",Drug-Related
2012-04-04,"Adelaide, South Australia",Drug-Related
2012-02-09,"Agincourt Reef, Australia",Drowning
2012-02-04,"Nowra, New South Wales, Australia",Air Accident
2012-01-12,"Randwick, New South Wales, Australia",Suicide
2011-11-13,"Kalbarri, Western Australia Australia",Vehicle Accident - Auto
2011-11-09,"Victoria, Australia",Suicide
2011-10-22,"Armstrong Island, Australia",Maritime Accident
2011-08-04,"Subiaco Perth, Australia",Homicide
2011-07-05,"New South Wales, Australia",Suicide
2011-04-21,"Marla, South Australia",Vehicle Accident - Auto
2011-04-05,"Queensland, Australia",Other Accident
2010-12-10,"Queensland, Australia",Drowning
2010-11-03,Australia,Suicide
2010-10-20,"Queensland, Australia",Vehicle Accident - Auto
2010-08-27,"Wallaroo, South Austalia",Vehicle Accident - Auto
2010-08-01,"Badgingarra, Australia",Vehicle Accident - Auto
2010-07-30,"Queensland, Australia",Other Accident
2010-05-13,"New South Wales, Australia",Drowning
2010-05-12,"Camperdown,New South Wales, Australia",Vehicle Accident - Bus
2010-05-06,"Newcastle, New South Wales, Australia",Vehicle Accident - Train
2010-04-19,"Coogee, New South Wales, Australia,",Suicide
2010-04-04,"New South Wales, Australia",Disaster
2010-03-25,"Glen Forrest, Western Australia",Vehicle Accident - Auto
2010-03-21,"Perth, Australia",Suicide
2010-02-22,New South Wales,Suicide
2010-02-12,"Murrumbateman, New South Wales, Australia",Vehicle Accident - Pedestrian
2010-01-22,"Murrumbateman, New South Wales, Australia",Homicide
2009-12-16,"Collingwood,Victoria, Australia",Suicide
2009-12-04,"Ulverstone,Tasmania, Australia",Vehicle Accident - Auto
2009-12-02,"Gold Coast, Queensland, Australia",Suicide
2009-10-08,"Prospect, Tasmania Australia",Suicide
2009-08-18,"East Of Pine Creek,Northern Territory, Australia",Air Accident
2009-07-08,"Queensland, Australia",Drowning
2009-06-15,"Boronia, Victoria, Australia",Other Accident
2009-06-06,"Whyanbeel, Queensland, Australia",Drowning
2009-04-10,"Perth, Australia",Suicide
2009-02-07,"Kinglake Victoria, Australia",Disaster
2008-12-04,"Queensland, Australia",Suicide
2008-10-31,"Sydney, Kingswood, New South Wales, Australia",Suicide
2008-02-11,"Bendigo, Victoria, Australia",Other Accident
2008-01-07,"23klm Minnie Bridge, Great Northern Highway Derby Western Australia",Vehicle Accident - Auto
2007-11-12,"White Rock, Queens Land, Australia",Drowning
2007-09-23,"Maddington, Australia",Suicide
2007-09-10,"New South Wales, Australia",Suicide
2007-09-01,"Sydney, Australia",Suicide
2007-03-01,"Hillcrest, Queensland, Australia",Suicide
2007-02-19,"Clade Batten Drive, Noosa Heads Queensland, Australia",Vehicle Accident - Motorcycle
2007-02-18,"Springbrook Road, Queensland, Australia",Vehicle Accident - Motorcycle
2007-02-18,"Sassafrass, Victoria, Australia",Suicide
2007-02-09,"ferntree Gully, Victoria, Australia",Homicide
2006-10-23,"Mooroolbark, Victoria, Australia",Other Accident
2006-09-29,"Sturt Street, Townsville, Queensland, Australia",Vehicle Accident - Auto
2006-09-19,"Marsden, New South Wales, Australia",Suicide
2006-08-08,"Yallingup, Western Australia",Drowning
2006-07-02,"Cloverdale, Perth, Western Australia",Suicide
2006-03-03,"Lorne Beach, Lorne, Victoria, Australia",Drowning - Beach
2006-02-20,"Saxon Reef, Off The Coast Of Cairns, Queensland, Australia",Maritime Accident
2006-01-13,"Dysart Middlemount Road, Middlemount, Queensland, Australia",Vehicle Accident - Auto
2005-10-30,"Camperdown, New South Wales, Australia",Other Accident
2005-09-11,"Queensland, Australia",Suicide
2005-07-05,"Wollahra, New South Wales, Australia",Suicide
2005-06-27,"New South Wales, Australia",Vehicle Accident - Auto
2005-06-27,"New South Wales, Australia",Vehicle Accident - Auto
2005-06-27,"New South Wales, Australia",Vehicle Accident - Auto
2005-06-21,"Mitchell Falls Plateau, Western Australia",Other Accident
2005-04-12,"Tapley's Hill Road, West Beach, South Australia, Australia",Vehicle Accident - Auto
2005-04-10,"Pope Road, Black River, Queensland, Australia",Vehicle Accident - Auto
2005-03-16,"Intersection Stuart Hwy & Hatt Rd., Alice Springs, Northern Territory, Australia",Vehicle Accident - Auto
2005-02-15,"Glenelg, South Australia, Australia",Suicide
2004-12-10,"Kensington, South Australia, Australia",Suicide
2004-12-03,"22 Airport Road, Glenugie, New South Wales, Australia",Drug-Related
2004-12-01,"266 Km East Of Norseman, Western Australia, Australia",Vehicle Accident
2004-11-24,"Agincourt Reef, Queensland, Australia",Drowning
2004-11-14,"Braslins Road, Black Hills, Tasmania, Australia",Other Accident
2004-11-12,"Western Highway, Near Nhill, Victoria, Australia",Vehicle Accident - Auto
2004-11-01,"Riddoch Highway, Coonawarra, South Australia",Vehicle Accident - Auto
2004-09-25,"Wonga Beach, Queensland, Australia",Suicide
2004-09-11,"Red Rock Beach, Near Coffs Harbour Nsw, Australia",Drowning
2004-09-02,"One Tree Hill, South Australia, Australia",Vehicle Accident - Auto
2004-06-28,"Sunnybank, Queensland, Australia",Suicide
2004-06-16,"Hastings Reef Via Cairns, Queensland, Australia",Drowning
2004-06-16,"New South Wales, Australia",Vehicle Accident - Motorcycle
2004-06-13,"Bonnie Doon, Victoria, Australia",Homicide
2004-05-08,"Surry Hills, New South Wales, Australia",Other Accident
2004-03-05,"Sydney, New South Wales, Australia",Drug-Related
2004-02-14,"Lavers Hill, Victoria, Australia",Vehicle Accident - Motorcycle
2004-02-07,"Sydney, New South Wales, Australia",Suicide
2004-01-20,"Burnside, South Australia, Australia",Suicide
2004-01-17,"Hope Island, Queensland, Australia",Suicide
2004-01-13,"Sydney, New South Wales, Australia",Suicide
2003-12-27,"West Tamar Highway, Beaconsfield, Tasmania, Australia",Vehicle Accident - Auto
2003-12-11,"Canberra, Australian Capital Territory, Australia",Drug-Related
2003-11-07,"Toodyay-bindi Bindi Road Near Balgalling Rd, Toodyay, Western Australia, Australia",Vehicle Accident - Motorcycle
2003-11-07,"Northam, Western Australia, Australia",Vehicle Accident - Motorcycle
2003-11-03,"Victoria Rd, West Ryde, Australia",Vehicle Accident - Auto
2003-11-03,"Otford Rd, Otford, New South Wales, Australia",Vehicle Accident - Auto
2003-10-22,"Townsville, Queensland, Australia",Drowning - Ocean
2003-10-17,"Southport, Queensland, Australia",Vehicle Accident - Auto
2003-10-12,"Pacific Highway, Jones Island, Australia",Vehicle Accident - Auto
2003-09-27,"Oakleigh, Victoria, Australia",Suicide
2003-08-13,"Pampoolah Rd Taree, New South Wales, Australia",Vehicle Accident - Auto
2003-07-26,"Litchfield Park, Northern Territory, Australia",Drowning
2003-07-25,"Sydney, New South Wales, Australia",Drug-Related
2003-07-17,"Hobart, Tasmania, Australia",Vehicle Accident - Auto
2003-06-15,"Palmwood, Queensland, Australia",Drowning
2003-06-12,"Twofold Bay, Eden, New South Wales, Australia",Drowning
2003-05-31,"Mossman Gorge National Park, Queensland, Australia",Drowning
2003-05-10,"Potts Point, New South Wales, Australia",Drug-Related
2003-03-21,"Bruce Highway, Behanna Creek, Queensland, Australia",Vehicle Accident - Auto
2003-01-01,"Caves Road, Quindalup, Western Australia, Australia",Vehicle Accident - Auto
2002-12-09,"Jervis Bay, New South Wales, Australia",Drowning - Beach
2002-11-12,"Sandringham St., Sans Souci, Australia",Vehicle Accident - Motorcycle
2002-11-05,"Line Reef Off Proserpine, Queensland, Australia",Drowning
2002-10-08,"Great Keppel Island, Queensland, Australia",Drowning
2012-11-09,"Klagenfurt, Austria",Suicide
2012-09-13,"Vienna, Austria",Drug-Related
2012-06-28,"St. Nikola an der Donau, Austria",Suicide
2011-12-29,"Vienna, Austria",Other Accident
2011-02-14,"Salzburg, Austria",Other Accident
2010-11-16,"Reutte, Austria",Other Accident
2010-10-08,"Vienna, Austria",Suicide
2010-02-03,"Salzburg, Austria",Other Accident
2009-11-26,"Jennersdorf, Austria",Suicide
2009-07-05,Baden. Austria,Suicide
2009-05-26,"Salzburg, Austria",Vehicle Accident - Auto
2008-12-03,"Vienna, Austria",Suicide
2008-09-13,"Vienna, Austria",Other Accident
2008-06-30,"Haritzersteig-leiterschlucht, Carinthia, Austria",Other Accident - Mountian climbing
2008-06-11,"Salzburg, Austria",Vehicle Accident - Auto
2008-05-19,"Vienna, Austria",Suicide
2007-10-22,"Schottenfeldgasse 3, Neusiedl/zaya",Other Accident
2006-10-18,"Vienna, Austria",Suicide
2006-09-14,"Brand, Vorarlberg, Austria",Other Accident
2006-08-12,"Kufstein, Austria",Suicide
2006-05-03,"Rosianfeld 2, St. Johann Im Pongau, Austria",Other Accident
2006-05-03,"Rosianfeld 2, St. Johann Im Pongau, Austria",Other Accident
2005-09-17,"Triesterstrasse, Graz, Austria",Vehicle Accident - Auto
2005-01-22,"Gampberg Mountain, St. Anton, Tyrol, Austria",Disaster
2004-05-28,"Angath, Tyrol, A12 Austrian Highway, Austra",Vehicle Accident - Auto
2003-12-16,"Federal Highway B-154 Between Plomberg And Scharfling, Austria",Vehicle Accident - Auto
2003-09-24,"Vienna, Austria",Other Accident
2002-12-21,"Graz, Austria",Suicide
2002-12-08,"Krems, Austria",Vehicle Accident - Auto
2002-12-05,"Oberwart, Austria",Other Accident
2012-09-17,"Freeport, The Bahamas",Suicide
2012-09-08,"Exuma, The Bahamas",Drowning
2012-07-08,"Bimini, The Bahamas",Suicide
2012-07-05,"Grand Cay, Abaco, The Bahamas",Drowning
2012-06-21,"Nassau , The Bahamas",Drowning
2012-06-17,"Freeport, The Bahamas",Drowning
2012-05-15,"Freeport, The Bahamas",Drowning
2012-04-07,"Providenciales, Turks & Caicos",Drowning
2012-03-25,"Treasure Cay, Abaco, The Bahamas",Air Accident
2012-03-25,"Treasure Cay, Abaco, The Bahamas",Air Accident
2012-03-25,"Treasure Cay, Abaco, The Bahamas",Air Accident
2012-03-25,"Treasure Cay, Abaco, The Bahamas",Air Accident
2012-03-24,"Providenciales, Turks & Caicos",Maritime Accident
2012-02-13,"Exuma Cays, Exuma, The Bahamas",Drowning
2012-01-28,"Nassau , The Bahamas",Other Accident
2012-01-09,"Freeport, The Bahamas",Homicide
2011-12-28,"Windermere Island, Eleuthera, The Bahamas",Suicide
2011-12-18,"Abaco, The Bahamas",Vehicle Accident - Auto
2011-12-07,"Providenciales, The Bahamas",Drowning
2011-11-07,"Abaco, The Bahamas",Drowning
2011-08-17,"Providenciales, The Bahamas",Drowning
2011-06-16,The Bahamas,Maritime Accident
2011-06-07,"Nassau, The Bahamas",Drowning
2011-05-06,"Nassau, The Bahamas",Maritime Accident
2011-05-01,"Nassau, The Bahamas",Drowning
2011-04-04,"Freeport, The Bahamas",Drowning
2010-12-29,"Nassau, The Bahamas",Drowning
2010-12-24,"Half Moon Cay, Eleuthera, The Bahamas",Drowning
2010-12-14,The Bahamas,Air Accident
2010-08-16,"Princess Cays, Eleuthera, The Bahamas",Drowning
2010-07-28,"Guana Cay, Abaco, The Bahamas",Drowning
2010-06-10,"Nassau, The Bahamas",Drowning
2010-05-09,"Nassau, The Bahamas",Drowning
2010-05-05,"Freeport, The Bahamas",Drowning
2010-04-30,"Freeport, The Bahamas",Drowning
2010-04-24,"Abaco, The Bahamas",Drowning
2010-04-17,"Fresh Creek,Andros, The Bahamas",Drowning
2010-04-03,"Providenciales, The Bahamas",Drowning
2010-03-17,"Nassau, The Bahamas",Drowning
2010-01-26,The Bahamas,Vehicle Accident - Motorcycle
2010-01-17,"Bimini, The Bahamas",Air Accident
2010-01-17,"Bimini, The Bahamas",Air Accident
2010-01-17,"Bimini, The Bahamas",Air Accident
2009-12-24,,Air Accident
2009-12-17,"Inagua, The Bahamas",Air Accident
2009-12-17,"Inagua, The Bahamas",Air Accident
2009-12-12,"Chubb Cay,Berry Island, The Bahamas",Air Accident
2009-11-11,"Nassau, The Bahamas",Other Accident
2009-08-12,"Abaco, The Bahamas",Drowning
2009-08-07,"Nassau, The Bahamas",Homicide
2009-06-10,San Salvador,Drowning
2009-06-07,"Rainbow Beach, Eleuthera",Drowning
2009-06-07,"Rainbow Beach, Eleuthera",Drowning
2009-06-03,"Stuart's Cove, Nassau",Drowning
2009-05-20,"Governors Harbour, Eleuthera",Drowning
2009-04-10,"Harbour Isl, Eleuthera",Vehicle Accident - Other
2008-12-27,"Freeport, The Bahamas",Vehicle Accident - Auto
2008-10-27,"Nassau, The Bahamas",Drowning
2008-08-08,"Alice Town,bimini",Drowning
2008-07-28,"Fowl Cay,abaco",Drowning
2008-06-27,"Nassau, The Bahamas",Suicide
2008-03-24,The Bahamas,Air Accident
2008-03-24,The Bahamas,Air Accident
2008-02-18,"Nassau, The Bahamas",Vehicle Accident - Motorcycle
2008-01-14,"Freeport, The Bahamas",Drowning
2007-11-20,"Waters Off South Ocean, Nassau, The Bahamas",Drowning - Ocean
2007-11-04,Freeport,Vehicle Accident - Auto
2007-11-04,"Nassau, The Bahamas",Vehicle Accident - Motorcycle
2007-11-03,"Freeport, The Bahamas",Vehicle Accident - Auto
2007-08-19,"Winding Bay, Marsh Harbour, Abaco",Other Accident
2007-07-22,"Marsh Harbour Clinic, Abaco",Drowning
2007-07-15,"Paradise Island, Nassau",Other Accident
2007-05-06,"Treasue Cay, Abaco, The Bahamas",Maritime Accident
2007-04-10,"Big Whale Cay, Berry Island, The Bahamas",Air Accident
2007-04-10,"Fortune Bay, Lucaya, Freeport, The Bahamas",Drowning - Ocean
2007-04-10,"Big Whale Cay, Berry Island, The Bahamas",Air Accident
2007-03-12,"Morgans Bluff, Andros, The Bahamas",Vehicle Accident - Auto
2007-03-05,"Freeport, Grand Bahamas, The Bahamas",Drowning
2006-10-05,"Freeport, Grand Bahamas, The Bahamas",Drowning
2006-08-19,"Providenciales, The Bahamas",Suicide
2006-07-17,"Abaco, Hope Town, The Bahamas",Suicide
2006-06-29,"Nassau, The Bahamas",Other Accident
2006-05-28,"Freeport, Grand Bahamas, The Bahamas",Drowning
2006-05-03,"Nassau, The Bahamas",Other Accident
2006-03-25,"Freeport, The Bahamas",Vehicle Accident - Auto
2006-03-24,"Freeport, The Bahamas",Vehicle Accident - Auto
2006-02-20,"San Salvador, The Bahamas",Other Accident
2005-09-08,"Norman's Cay, Exuma, The Bahamas",Air Accident
2005-08-23,"Freeport, Grand Bahamas, The Bahamas",Homicide
2005-08-18,"West Bay Street, Nassau, The Bahamas",Vehicle Accident - Auto
2005-07-11,"Nassau, The Bahamas",Vehicle Accident - Pedestrian
2005-07-05,"Freeport, The Bahamas",Drowning
2005-06-22,"Freeport, The Bahamas",Drowning
2005-06-09,"Andros, The Bahamas",Drowning
2005-06-05,"Nassau Yacht Haven, Nassau, The Bahamas",Other Accident
2005-05-30,"Nassau, The Bahamas",Other Accident
2005-03-25,"Gun Cay, Bimini, The Bahamas",Drowning
2005-03-03,"Big Whale Cay, Berry Islands, The Bahamas",Drowning
2005-03-03,"Big Whale Cay, Berry Islands, The Bahamas",Drowning
2005-02-09,"Freeport, The Bahamas",Suicide
2005-01-09,"Greenwood Resort, Cat Island, The Bahamas",Other Accident
2004-11-23,"Paradise Island, Nassau, The Bahamas",Maritime Accident
2004-10-29,"Cabbage Beach, Nassau, The Bahamas",Drowning
2004-10-19,"New Bight, Cat Island, The Bahamas",Homicide
2004-08-01,"Harbour Island, Eleuthera, The Bahamas",Drowning
2004-06-15,"Guana Cay, Abaco, The Bahamas",Drowning
2004-05-28,"Cat Cay, Bimini, The Bahamas",Drowning
2004-05-27,"Marsh Harbour, Abaco, The Bahamas",Air Accident
2004-05-27,"Marsh Harbour, Abaco, The Bahamas",Air Accident
2004-01-23,"Freeport, The Bahamas",Vehicle Accident - Auto
2004-01-03,"Bimini, The Bahamas",Drowning
2003-12-10,"Nassau, The Bahamas",Drowning
2003-08-29,"Cable Beach, Nassau, The Bahamas",Maritime Accident
2003-08-15,"Freeport, Grand Bahamas, The Bahamas",Drowning
2003-07-18,"Freeport, Grand Bahamas, The Bahamas",Air Accident
2003-05-31,"Green Turtle Cay, Abaco, The Bahamas",Maritime Accident
2003-03-25,"Mermaid Reef, Marsh Harbour, Abaco, The Bahamas",Drowning
2003-01-21,"Nassau, The Bahamas",Drowning
2003-01-01,"Andros, The Bahamas",Drowning
2002-12-15,"Providenciales, Turks And Caicos Islands, British West Indies",Drowning
2002-11-17,"Island Of San Salvador, The Bahamas",Drowning
2011-10-24,"King Fahd Bridge, Bahrain",Vehicle Accident - Auto
2009-02-28,"Manama, Bahrain",Vehicle Accident - Pedestrian
2008-12-26,"Salmaniya, Bahrain",Vehicle Accident - Other
2004-04-13,"Manama, Bahrain",Suicide
2003-03-06,"Shaikh Salman Highway In Isa Town, Bahrain",Vehicle Accident - Bus
2011-08-31,"Pabna, Bangladesh",Drowning
2011-02-16,"Dinajpur, Bangladesh",Vehicle Accident - Motorcycle
2010-06-08,"Noakhali, Bangladesh",Drowning
2010-04-11,"Dhaka, Bangladesh",Vehicle Accident - Auto
2009-11-09,"Moghbazar,Dhaka, Bangladesh",Suicide
2008-11-06,"Comilla, Bangladesh",Other Accident
2008-04-13,"Dhaka, Bangladesh",Homicide
2003-02-13,"Upazila-matlab, Dist- Chandpur, Bangladesh",Drowning
2012-07-20,"Babbs, St.Lucy, Barbados",Suicide
2012-05-12,"Christ Church, Barbados",Suicide
2012-03-09,"Jost Van Dyke, British Virgin Islands",Drowning
2012-02-26,"Stoney Ground, Anguilla",Vehicle Accident - Auto
2012-01-06,"Virgin Gorda, Barbados",Drowning
2011-08-16,"Bridgetown, Barbados",Maritime Accident
2011-07-18,"La Plaine, Barbados",Drowning
2010-12-20,Barbados,Drug-Related
2010-12-02,"Cooper Island, Barbados",Drowning
2010-11-11,"St. Michael, Barbados",Drowning
2010-09-03,"St. Michael, Barbados",Other Accident
2010-07-20,"St. Michael, Barbados",Drowning
2010-04-10,"St. Philip, Barbados",Drowning
2010-04-06,"Portsmouth, Barbados",Drowning
2010-03-05,"St. John's, Barbados",Drowning
2010-02-23,"Tortola, Barbados",Other Accident
2010-02-06,"Tortola, Barbados",Drowning
2010-01-19,"St. Paul's, Barbados",Homicide
2009-11-28,"St. John's, Barbados",Homicide
2009-09-21,"Vieux Fort, Barbados",Suicide
2009-09-02,"Grand Case, Barbados",Suicide
2009-08-04,"St. James, Barbados",Vehicle Accident - Auto
2009-03-12,"The Valley, Barbados",Vehicle Accident - Other
2008-07-27,Barbados,Drowning
2008-06-22,"West Farm, Barbados",Vehicle Accident - Other
2008-04-24,"Barbados, British Virgin Islands",Drowning
2008-04-10,"Stoney Ground, Barbados",Drowning
